province,district,facility_label,name,HMIS_Code,location,ownership,facility_type,operational_stutus,catchment_population,longitude,latitude
Central,Chibombo,Chamakubi HP, Chamakubi Health Post,101039,Rural,GRZ,Health Post,Yes,,27.64199073,-14.79990288
Central,Chibombo,Chibombo RHC, Chibombo Rural Health Centre,101010,Rural,GRZ,Rural Health Centre,Yes,,28.07594009,-14.6638325
Central,Chibombo,Chikobo RHC, Chikobo Rural Health Centre,101011,Rural,GRZ,Rural Health Centre,Yes,,28.05468418,-14.77719348
Central,Chibombo,Chipeso RHC, Chipeso Rural Health Centre,101013,Rural,GRZ,Urban Health Centre,Yes,,27.99719322,-15.1962087
Central,Chibombo,Chitanda RHC,Chitanda Rural Health Centre,101016,Rural,GRZ,Rural Health Centre,Yes,,27.59347921,-14.63709401
Central,Chibombo,Golden Valley RHC,Golden Valley Rural Health Centre,101017,Rural,GRZ,Rural Health Centre,Yes,,28.09350648,-14.96925977
Central,Chibombo,Ipongo RHC, Ipongo Rural Health Centre,101018,Rural,GRZ,Rural Health Centre,Yes,,27.2893349,-14.57398766
Central,Chibombo,Itumbwe HP, Itumbwe Health Post,101041,Rural,GRZ,Health Post,Yes,,27.13428738,-14.50490159
Central,Chibombo,Kabangalala RHC, Kabangalala Rural Health Centre,101019,Rural,GRZ,Rural Health Centre,Yes,,27.72865541,-15.16894184
Central,Chibombo,Kamaila HP, Kamaila Health Post,101045,Rural,GRZ,Health Post,Yes,,28.30933084,-15.09634356
Central,Chibombo,Kanwanjiba HP, Kanwanjiba Health Post,101044,Rural,GRZ,Health Post,Yes,,27.81432343,-15.14574924
Central,Chibombo,Kaparu RHC, Kaparu Rural Health Centre,101020,Rural,GRZ,Rural Health Centre,Yes,,27.75370533,-14.97392179
Central,Chibombo,Kapopo HP,Kapopo Health Post,101046,Rural,GRZ,Health Post,Yes,,28.19412801,-15.26929144
Central,Chibombo,Kayosha RHC, Kayosha Rural Health Centre,101021,Peri-Urban,GRZ,Urban Health Centre,Yes,,28.23740849,-15.20378118
Central,Chibombo,Keembe RHC, Keembe Rural Health Centre,101022,Rural,GRZ,Rural Health Centre,Yes,,27.78020143,-14.90235851
Central,Chibombo,Makoka RHC, Makoka Rural Health Centre,101042,Rural,GRZ,Health Post,Yes,,27.77679665,-14.69138599
Central,Chibombo,Malambanyama RHC, Malambanyama Rural Health Centre,101023,Rural,GRZ,Rural Health Centre,Yes,,27.70253403,-14.86239338
Central,Chibombo,Manyana RHC,Manyana RHC,101048,Rural,GRZ,Rural Health Centre,Yes,,27.70253403,-14.86239338
Central,Chibombo,Mboshya RHC, Mboshya Rural Health Centre,101024,Rural,GRZ,Rural Health Centre,Yes,,27.86927096,-15.2314023
Central,Chibombo,Mungule RHC, Mungule Rural Health Centre,101026,Rural,GRZ,Rural Health Centre,Yes,,28.1562031,-15.218054
Central,Chibombo,Muntemba RHC, Muntemba Rural Health Centre,101040,Rural,GRZ,Rural Health Centre,Yes,,27.82906911,-15.00362378
Central,Chibombo,Musopelo UHC,Musopelo UHC,101050,Rural,GRZ,Urban Health Centre,Yes,,28.08468146,-15.26253179
Central,Chibombo,Mwachisompola Demo Zone, Mwachisompola Demo Zone,101028,Rural,GRZ,Rural Health Centre,Yes,,27.95424229,-14.91099941
Central,Chibombo,Mwachisompola RHC, Mwachisompola Rural Health Centre,101029,Rural,GRZ,Rural Health Centre,Yes,,27.9919851,-14.90569567
Central,Chibombo,Mwanjuni HP, Mwanjuni Health Post,101037,Rural,GRZ,Health Post,Yes,,28.26882333,-15.26084944
Central,Chibombo,Mwerebi - Keembe Ranch, Mwelebi Keembe Health Post,101047,Rural,GRZ,Health Post,Yes,,27.59970757,-14.88015627
